"","year","revenue","Pcost","Dcost","Hprice","temp","rain","sun","insolation","gdp","area","yield"
"1",2003,1819742.82614847,1350775.35421864,59.8648344604427,31868.6484478881,19.7430498811775,271.981150288136,184.163226582734,456.371647156546,826633.341844256,13902.4753422812,159568.714989951
"2",2004,2304493.50904388,1584771.71021174,74.2436639863718,21541.7714461712,19.2779042922097,258.289115354855,206.222066327517,519.960498802868,799256.069900022,10580.952412565,145429.734121299
"3",2005,2290818.9582808,1555678.37033666,70.7404095291721,20096.8176534023,19.1001115994941,120.063746874909,194.075300972572,469.259725996271,932721.06500357,13350.38906422,134837.243436145
"4",2006,1554915.6527392,1444094.74659435,72.2259356026658,22428.5228531149,20.9410255477659,197.723396666689,200.78066457396,517.175907614615,984700.645573521,12287.6321108585,122824.925035815
"5",2007,2212965.86906076,1443542.69601117,47.9105527102056,24504.6903975624,20.8551928353847,217.509754514849,158.359379045628,558.388926269691,1018553.98080867,7769.19120617902,128816.797699735
"6",2008,2061991.81681802,1651350.33196783,67.40972386987,21515.2915222,22.2444082644126,124.092807092801,176.740940425691,581.12183988668,1147303.67553095,11075.2086171512,112896.435800756
"7",2009,2559773.90343861,1658306.43421242,57.0139826966138,26959.6118022981,17.9768162345518,201.335861947432,211.28775698426,640.588216864923,1201069.62306053,8829.5549827782,115862.368528481
"8",2010,5326929.39615888,1750977.18301884,52.0348447828298,21122.4510386446,24.4699558930967,193.06676598735,170.258886770991,598.383041400334,1348456.97557579,7345.97440462904,76768.0137998953
"9",2011,5044106.07988899,2573549.1865796,56.5899606871034,25177.2303004616,21.6354885032759,202.000281624918,155.11927515672,612.351666769353,1278247.65098332,8229.68395163035,84153.9136850923
"10",2012,4056076.30735489,2173336.5269301,59.3094532858549,23527.6903351662,22.5512984461567,242.094180886781,202.177824054129,621.443639350012,1552775.13585284,9819.6650367362,100205.832164356
"11",2013,3570532.07331637,3123263.31246828,70.8653889735307,30518.4358012888,24.0607430764237,157.156097783014,242.369151301806,596.087323777177,1398157.20777807,8002.08431606772,121878.034055118
"12",2014,3213073.24881452,2689465.59074022,68.0344589290095,43613.4767806118,22.0779520031231,205.729496425915,219.014424269004,575.356205525168,1460985.22204717,7804.29854839911,82412.0087792211
"13",2015,5060152.93838509,2575334.6279725,52.2222887879413,34913.3104385483,22.6962850718817,119.375604417709,224.680077417946,649.954591518739,1626019.93647511,4965.85003808754,72881.2499769048
"14",2016,4804538.37661482,2705062.79644511,47.2214359843169,41958.5771495891,24.8312077483504,161.620741861238,243.76974190085,564.148941528579,1793293.12961561,4593.33499895424,54474.535183749
"15",2017,4282911.43186981,2870246.36395098,44.3374231857809,40084.6852186785,20.74270603892,130.645793158119,254.283686024576,603.957570390715,1938596.92872193,5619.04449614178,67584.2207130013
"16",2018,3631707.23254922,3496358.85170756,51.0159848369004,44509.4285758383,25.2940803744288,173.827809314181,236.712870712285,528.965424277795,1838130.44183548,6847.61203223763,57830.4821040293
"17",2019,3835222.82147976,3020445.95982319,69.7520315309375,55985.5774204968,22.9668132947249,181.301589753367,196.723198909176,592.089024961972,1877641.39997797,5962.86845052827,73862.0905486938
"18",2020,3419881.58293786,3172313.43211148,50.0999729583577,56323.694580398,23.4842316062878,248.37071979734,177.202039077825,614.588652550474,2062766.56847009,5640.38466531048,72190.1754859822
"19",2021,6723431.35484936,2843259.58157319,61.9984746632754,48580.9397664147,25.8215393219555,227.556085061854,184.632047796916,596.098678863144,2064267.16053787,3228.71130706582,45206.8181085115
