"","year","revenue","Pcost","Dcost","Hprice","temp","rain","sun","insolation","gdp","area","yield"
"1",2003,1769441.99687123,1255400.34493578,50.791327733376,33908.2086205212,21.5263038386905,306.707853066026,266.255036704029,471.342951081058,840173.807637463,13641.4426795817,147758.703223841
"2",2004,2199362.94476052,1516747.3180897,61.5942244335849,17640.8780704629,22.3524447258532,246.988840328997,208.457865587105,445.719979208259,925205.450999584,12817.4213535739,126139.374246112
"3",2005,2243122.712503,1453059.88757446,71.1694451600401,23042.1795009232,21.6416603631219,135.66221724406,233.547401345231,607.623981476804,1054179.44798056,12418.1781661161,136075.611058777
"4",2006,1631436.92954914,1306538.26602183,72.6243165917814,24626.1001720576,22.2746236660499,258.362158347494,195.013321676772,608.068178116035,1091688.00658848,11110.6786946177,118053.213537557
"5",2007,2060967.30312029,1736821.16468647,43.8034549168175,22568.4056890416,22.5224558707785,224.729376937606,174.887275943238,522.249655645748,1043840.56611315,11007.518209706,152797.073428622
"6",2008,2010644.79209497,1534390.7824259,64.1368308110374,25809.5904085128,19.6525215029611,151.384555792611,187.166576914709,433.41860545794,1038162.47276383,10005.4493045438,157075.773989404
"7",2009,2232167.37648557,1776219.3545973,54.2853242663562,22363.5509705024,21.7295840517077,198.143190338059,195.938108995752,697.05723492074,1248597.26527098,8107.77716589475,134465.204536023
"8",2010,4596800.81158107,1777816.23354986,54.6005825869174,22006.4270921774,26.4012140960832,184.534953708419,201.036722832364,676.250834174208,1473614.08341912,8496.88822347172,84391.12973563
"9",2011,4176647.92839528,2227897.79116571,53.0349964896839,21133.9219677527,26.4041322291823,203.989604343748,189.223205490975,575.112938829253,1185625.82366721,9155.92310615754,90185.655394304
"10",2012,4247892.43374967,2867036.34866466,51.0760217218459,30901.0069076802,22.5718331317583,209.916077110011,220.969772575462,599.5890365417,1625498.09614982,9757.45754704414,95420.054431089
"11",2013,4309160.36119144,3068671.87338511,56.7402613878557,33592.5809427624,24.7939594417286,149.80814878993,247.311309453111,571.742733819425,1384444.41082658,9416.45265739052,116263.653342045
"12",2014,3296222.64339034,2688831.93168643,60.6320190282612,39303.6560324355,21.784414701162,223.246232245419,216.572582725878,539.131791005286,1503429.83517384,7110.56039087078,116334.173337624
"13",2015,6173807.93053116,2651306.4682164,40.7000624931373,39813.4126650217,17.4325123660008,136.943005846869,241.514353201671,745.144231809926,1478428.04173376,5083.19689139338,61083.8444916748
"14",2016,6820009.77678476,3112383.46481053,44.9032807116726,40396.5640623999,22.4742925440175,143.485196756968,252.091628794217,566.452505907455,1962943.99722807,5719.45724929858,49896.1181783261
"15",2017,4829353.54676542,3558584.45660039,46.0041126627677,40142.2761311696,27.7068771042633,109.5147388009,204.194166006928,504.504973711672,1718487.13053318,5695.02959982832,65003.7092080337
"16",2018,3152879.87880591,3712569.39427998,58.3227901354432,43808.3909553036,23.0761988843303,201.987009747439,259.520420318968,648.14324326318,1713372.73911796,5776.21699294725,64554.6857777371
"17",2019,3560450.56245573,3145630.45246592,55.6473591050278,52644.7139657189,21.6648514668801,195.227502499586,185.563528133987,617.148296174743,1517534.2036604,5102.15992548764,54208.9993382731
"18",2020,3523804.82828854,3232589.74444775,58.9723728980223,59821.1571814325,20.507883314186,251.063775109904,180.831724026441,543.859627818864,1928425.96888224,6414.26617793852,82773.679826567
"19",2021,5684943.47726779,3783706.7235424,53.008940906665,53793.3470296074,21.118464282874,204.695234595792,244.646376954906,537.300964913499,1983493.76819665,3946.91818045958,43339.6232700404
