"","year","revenue","Pcost","Dcost","Hprice","temp","rain","sun","insolation","gdp","area","yield"
"1",2003,1695191.66799818,1490692.02120942,54.7360137747934,28864.108845045,18.1592639123596,256.049403063748,239.23682338751,482.203608272874,752296.327785254,15635.7694481868,167354.245711545
"2",2004,2210335.76584813,1510727.20306284,56.985179351763,22131.2399796924,21.2442019587723,253.070126670489,200.882083744881,496.324579735185,955037.343054621,10778.9215007257,165679.062600717
"3",2005,2003863.42470422,1536615.73392264,67.2549100126028,22112.8285324124,22.7800139966479,162.329787592329,182.339218623154,562.374170548727,996724.583752238,13184.5361943123,156209.10478466
"4",2006,1803340.12975154,1451676.3199195,66.1207894409986,22849.7615564084,18.0935692711152,276.163183580145,193.862823490981,472.832711103545,1034493.87420086,10424.5906152506,108540.489471768
"5",2007,2167988.04587821,1571278.81027272,59.6042236175894,22313.9808707341,21.3044477121566,238.982746987802,188.111322308385,436.397506833881,1131889.20584234,9729.35538004215,133658.52827281
"6",2008,2282281.534158,1540241.13958133,57.5018030048521,25861.5901851475,19.1368555596861,136.185719968599,204.804573071386,522.397041113137,1210516.50576889,10354.6640566203,125480.519751559
"7",2009,2484584.48045138,1562018.54047335,69.4208394305914,18184.0904934865,28.1604101251901,141.829678147163,212.574053075051,614.670535998998,1135378.30109532,9071.43281272032,133052.399199262
"8",2010,4571650.36586176,1534053.7743901,54.383261776149,17334.9102211112,21.7113352663172,180.675594240002,183.834753122146,640.808781947913,1515539.23080588,6750.16500149546,90010.4346115087
"9",2011,4569109.38064951,2305465.96514276,58.076325861305,23219.6391008297,21.9498728537852,245.494461986795,225.715778202723,587.844972734099,1360204.20948627,6530.78333132431,60432.880447724
"10",2012,4564238.26874432,2527407.45572242,53.0127964227354,29987.6323442365,21.1214019745277,232.098313556364,232.039522348983,597.274103423681,1244294.95881823,8654.67644359816,100291.933173321
"11",2013,3658381.40796386,2836968.79259099,57.8390481816342,36257.3237031719,24.4966232566395,177.146663266908,248.912417992006,624.998761530557,1845686.06982432,7929.12584012226,101249.121938834
"12",2014,2581021.7705202,2621207.2448481,60.6864383281902,33474.4047324773,19.4385736883643,205.125061298868,189.12554905661,649.991124030312,1487775.47969904,7528.32274397184,90184.2917160398
"13",2015,5890094.82035145,3134235.8006118,48.8554074302884,39818.3187853393,17.0023529592659,130.71693548151,230.118185112082,594.224283886047,1382008.88636654,5583.50997822127,71339.2259341702
"14",2016,5377254.60648078,3173423.78224105,43.8275881576858,39736.7444069358,24.9708347178376,161.768714852134,217.831427754325,552.958052431405,1512521.96522064,4998.12551438324,57344.9536363991
"15",2017,4514783.88720461,3929117.51201503,47.3738569482984,36700.3196440785,22.3532247748965,126.456375131369,202.329085700543,665.632744147115,1740554.51649776,6018.31632651369,58370.2843709545
"16",2018,3129066.90138309,3368051.78886055,56.8602935746257,42363.4178989554,22.2151086980066,198.704475212309,183.311915670758,529.385242481944,1488435.49906378,5626.79611560803,65995.5968769155
"17",2019,3020100.76045889,3044349.24702214,60.5508644759998,44431.2967561686,23.2365432339646,226.803962819353,238.415559705121,536.165308653838,1626020.4378663,7297.07836819047,73898.6627130835
"18",2020,3237730.94099616,3057187.92039018,57.6628456938755,56391.9664434166,24.8026901760437,244.220443410607,197.621085587538,500.331356450765,1934606.75210876,4906.91379820173,61791.7986509105
"19",2021,6007089.88710867,3871912.31793919,70.1605902183185,48249.9648191128,25.7989669923745,185.424924399035,189.539039678585,569.913460903933,2136385.59032654,3773.6548751586,57309.389441422
