"","year","revenue","Pcost","Dcost","Hprice","temp","rain","sun","insolation","gdp","area","yield"
"1",2009,3496563.95268235,1274684.84524766,38.3314635474557,10811.9958057367,19.1240974631841,188.020874324889,187.788195862292,603.646024023468,1199209.14314285,215.871986132631,3595.20132158158
"2",2010,3850345.17107906,1223335.53819442,40.4605738659488,11872.2265415501,24.3749711508478,256.57376634195,131.485811696095,612.136710602984,1451355.38597407,225.076039766352,2920.80156946457
"3",2011,4181015.7025176,1447552.83968282,41.7857300052743,10229.0743402903,21.7327702512808,211.542697933283,190.342893189903,520.194086643851,1708611.40985436,237.324713448002,3085.49138822318
"4",2012,3890705.99088857,1802822.43877358,28.3791371763072,14411.8871993545,21.464431545325,241.806960194775,197.866841263205,590.417352090724,1528654.15686818,270.647503675123,3089.16948109492
"5",2013,4436137.92774284,1660011.69424459,44.4606984882394,13639.807813313,18.8125265326189,164.011970865916,239.707468771586,646.704063122519,1761449.28256107,168.497661057733,2344.24194952609
"6",2014,4414456.17969146,1718578.34402057,40.8140926474612,14699.4033296748,23.059843368546,204.854994401166,184.496401225942,601.032026217793,1633686.0580366,181.474871905923,2227.67232814486
"7",2015,5551212.31315727,1692910.82936495,39.7207532972255,17926.2962426802,20.361828671116,130.482620471449,232.807037091685,622.270827079593,1481884.88802422,198.421602508147,2097.23435753507
"8",2016,4356457.78424041,1676503.88927511,41.1267597544968,13774.8228448772,20.0149155566814,151.932830666538,225.150844352872,580.88393300328,1805214.13472609,633.837681318163,7676.44889395881
"9",2017,3863552.44680005,1743747.67824463,42.8793387973649,14949.8458054342,21.73841505224,124.206642377501,202.242608331695,439.348209313259,1910353.82117451,512.706549556205,4421.27178251404
"10",2018,5031773.97473252,1874724.77184872,37.5341721303995,14530.6105094595,24.2478819681122,180.875683544759,198.790877550116,605.54203890365,2204081.25912727,562.929057858639,4730.9414682437
"11",2019,3403601.48184506,2068953.76717641,30.2684637002469,14093.5984729693,22.0269000693197,173.761054704682,212.516235822099,598.376521427579,1676325.09160176,698.710189105555,5638.8549521678
"12",2020,3779191.57872121,2196263.47776716,34.3948996133889,14601.6663790368,22.0969610851788,219.873023752388,195.216498468886,549.578268274017,2152335.05869012,699.245005209309,4217.91672469683
"13",2021,5095939.46764792,2409161.71633705,34.1462155749728,18800.5061457212,23.3415617407512,173.035860578753,170.59157012436,502.11604078482,2041445.78860913,508.212340709257,6227.46412456173
