"","year","revenue","Pcost","Dcost","Hprice","temp","rain","sun","insolation","gdp","area","yield"
"1",2009,3275586.27504098,1267327.17308538,48.896103882433,14290.0310177725,20.3589703853088,181.716426147945,207.496760280881,620.085619497559,1408017.09120929,190.582997560065,2707.96593740999
"2",2010,4610896.30717487,1474305.49166503,31.9305092994739,14052.9754027227,22.3483661012683,193.892628138814,187.866215325464,651.566026432226,1311445.97616511,266.547994015891,3135.50096493903
"3",2011,4086362.10195136,1300653.40844648,35.4604890553232,15828.9115894316,20.2985054816983,192.243333468164,185.811534330316,545.006786851498,1417543.48234739,260.548822498901,3461.03174662559
"4",2012,4814052.29567849,1907848.70291916,35.3405659376903,12249.0410679683,24.6946357791344,196.731774248545,206.188016883255,625.245024821627,1537722.77203933,296.78203617234,3040.87701582819
"5",2013,4715516.74021349,1582094.99029754,39.1796642758017,15476.7578553227,26.9600109602272,156.006215591692,224.199729159753,594.395433671558,1612625.04949415,170.221553860474,2561.05865379104
"6",2014,4433807.6986964,1903498.14806105,40.1828953332235,14250.6846290611,21.5033243330948,201.941767544454,188.901814194801,608.493682135584,1549565.60618239,142.925005101253,1720.26554335927
"7",2015,5634319.07599105,1582283.89231941,44.9489283172749,14355.0259113237,19.5403950614383,128.341831509661,241.961777826076,567.844807826985,1508975.58993355,165.8639122064,2168.86421977544
"8",2016,4119807.72394241,1836304.67656312,41.928813091765,14802.2450269612,25.7953524471562,134.459477991201,253.348082045571,614.843563660504,1800336.56736847,516.664347494304,7095.88460421431
"9",2017,4588262.59650761,1746464.56197393,46.9950285993241,15998.6942237872,19.5868540874067,143.979083460489,215.636488255412,582.423431757696,1744051.88655447,634.842819083176,5184.47612535189
"10",2018,4619012.75824817,1428155.37134408,39.3967209064718,19634.1625057239,23.8165796544598,181.424870942515,208.541709741945,613.676623381855,2105753.02716058,467.449256476679,4374.77816721779
"11",2019,5024543.09086047,1744850.57257797,33.0314169821664,15798.4551518138,23.1853195281773,197.311002431673,253.180210271163,577.237462952762,2159761.58042941,572.104070281716,5694.45735516666
"12",2020,3992495.08245049,1392448.32121541,41.5966654236878,19155.8305393823,26.0000712301896,272.666579112101,185.72700506094,602.179041883928,1734461.91366479,581.20606558018,5463.36261116895
"13",2021,4821457.88328211,2105224.27484773,29.6746723635427,16149.6764489616,22.9834737875446,213.957195850029,200.135402532855,616.544338481212,1632790.5181768,621.619058077118,6202.73704703966
