"","year","revenue","Pcost","Dcost","temp","rain","sun","insolation","Hprice","gdp","area","yield"
"1",2003,1380685.9881565,425962.794219776,45.7805846387664,22.3429158431154,328.545653138654,254.719405700614,538.467587739019,13440.636610344,729434.745112659,2374.89594554483,61149.5773035786
"2",2004,1375694.00154151,445975.087205064,50.4908728285323,21.6827305719562,273.038625453521,180.37322295907,481.87500583373,16035.3652007941,1097923.56911445,3150.1301810575,69601.8744809823
"3",2005,1492749.86910907,538733.832014808,51.7460182369874,21.2355011001593,164.152016808196,228.233818642661,468.025280270033,18798.2834167696,1009649.29530936,3596.45030725584,52695.3729455084
"4",2006,1801203.99636535,507085.617571492,61.3280922960437,19.4330408600901,215.465304836125,196.373816950449,496.355525764788,16520.0811328779,951040.59948591,3180.01070583362,69191.7935278284
"5",2007,1685586.26079116,726003.063012972,69.5249444106341,19.1048810667931,201.848215912164,170.577772496939,486.381424103782,20642.6684378661,1181873.62985984,4660.37921840729,103127.904799129
"6",2008,1908335.57562494,760743.46397952,66.4058473669598,24.3033484600042,148.148736868925,175.327612530863,569.513399675927,19758.1019530807,992070.305271514,3664.98609269308,64699.05585064
"7",2009,1964355.21569201,711124.099425369,73.3729063371883,16.5018870385076,195.290614311641,195.212246418014,706.331198438452,13851.2715060357,1215859.42719775,5187.12565124997,77404.6498409342
"8",2010,1945497.86189897,781264.842641927,58.9904712415351,25.6820697001973,219.003136186502,189.051219763934,611.11238494557,23435.0403131923,1292806.75539882,4034.20199088977,74884.381983236
"9",2011,2468034.20618504,1177628.59080858,61.8787483452294,21.3879795236272,241.739602888586,157.163656299925,627.74512348529,26201.6081509775,1445261.4424605,4155.41459664599,67694.3136583897
"10",2012,2538930.06833381,1080816.65918064,69.7662299597343,24.6304464547925,231.573973622391,172.5167012245,518.797472380931,28319.7719514371,1481238.86890396,5357.08556423699,88328.3881993433
"11",2013,2340458.54110709,1216507.79921845,67.8164693678918,23.955815953602,163.575419408268,216.165866653762,549.788905757123,27727.9880224884,1537492.70746707,4663.35493804602,72194.2348875914
"12",2014,2350141.81549957,1065746.47378565,69.1566323144057,19.3214187874134,191.224655004561,197.339013821498,562.91261541995,25566.7587500866,1604555.81945015,4465.70679122245,80106.5480716096
"13",2015,3049076.88245673,1410929.84567288,71.9580624076178,19.938133623344,123.701305285192,228.227115420783,546.832403964729,23092.5294121019,1670307.52626907,4603.60983926204,73506.4780231873
"14",2016,2927802.91979073,1391090.38795406,64.373678286298,27.0165682232728,146.788217505208,213.503327910572,577.726895389399,24947.1019553771,1500932.40061268,4447.12115320493,62244.2497365235
"15",2017,2720920.97329225,1403889.18071283,63.1921887881878,25.9882930691407,112.060564140975,240.810297750402,590.002790639832,29394.8579096792,2152484.28863352,4009.27307501295,72448.113334172
"16",2018,3420856.47675506,1544522.44712239,59.4883705324738,23.2190018492862,152.770481436135,270.792978236835,585.914048168377,29693.4281153774,1603161.73625721,5247.70065977033,69939.7035588893
"17",2019,2823522.59067537,1332766.21725183,56.9951514435268,25.5750781383481,196.385349286977,172.943236989966,495.355497941399,31188.5540293841,1883063.13099214,6057.61342183893,138868.983180954
"18",2020,3427523.19706631,1757611.82214328,58.4007467669675,23.132774858035,295.044874787265,191.625844677643,515.51106908084,26526.4260664193,1820702.96179879,4468.32218552216,101224.588146482
"19",2021,4201828.73465968,1640248.76512797,68.7586793905144,23.1208994278877,197.989779034874,218.909667370725,621.269241940556,34077.5832131553,2215956.56141164,5893.13468969423,102110.700388721
