"","year","revenue","Pcost","Dcost","temp","rain","sun","insolation","Hprice","gdp","area","yield"
"1",2003,1046740.44427296,447621.703157284,46.8273930553735,21.9746338881,281.97028036163,273.87153918706,528.324932262845,15136.2680604073,1005259.97746458,2820.06000249212,55203.0726002864
"2",2004,1453614.65575885,442925.691809327,47.6007501034746,24.424898159995,293.145079781158,220.330673525821,622.756608334515,12438.6082880344,845594.458173218,3008.88756772401,63877.1838207706
"3",2005,1249411.97420722,535501.426262951,53.0635812147696,21.2828822107485,146.918841970585,227.963756885246,521.415520805203,18481.5592934783,997081.961364542,3577.05155497901,49682.7044529311
"4",2006,1683955.67185506,584975.078711523,57.2276445679007,24.6900082168396,243.525142841465,196.103628658514,484.069458896561,18636.2717147929,1166918.13496866,3940.99546536991,69525.2479135862
"5",2007,1365615.76650281,694544.277589618,64.7554983614553,23.5314740112369,227.571161772196,163.737894683464,586.682005892758,18743.8386706853,1156273.37105413,4941.20159050159,82082.0534409265
"6",2008,1886691.13691777,793802.754235712,66.6889700687075,26.5872190731214,141.814166674378,182.869630427055,479.441440027502,20463.1261944466,1200138.61319687,4005.49276025923,69912.1365449938
"7",2009,1886892.70001204,1037750.28421803,67.1533855749706,23.1616458649131,183.993723110178,156.971780618069,812.208487842237,20740.1775903508,1031244.64372363,3723.9071455538,92546.9451229161
"8",2010,2090119.79633444,1002147.01513407,57.7145232473431,19.0768079963196,234.199683519726,175.93800425658,583.338904659046,23838.796824847,1386816.04933177,4190.86965451619,71270.9798708431
"9",2011,2678507.51851025,1010314.31384256,54.5939238839929,20.8418365142521,221.082236539649,170.311366631962,610.060668392815,24264.5230001136,1413866.12439328,4164.80106562083,76347.4329914342
"10",2012,3210671.93436588,1212488.33450655,68.1067468126195,22.5263209982922,232.890440775259,203.439455669284,588.25119273216,26382.9677066979,1416716.23890853,4905.84124560382,87412.0501481246
"11",2013,2678326.77850238,1042896.61570999,65.9350255001172,22.8737583851891,166.545811054173,247.318694293116,606.256487853514,29954.4900421019,1454351.27931684,4380.1694408342,74286.5661868966
"12",2014,2607953.68907429,958113.66381202,70.4001314548663,18.8165849352346,204.197526514798,197.948116511685,546.909470075244,25818.610938709,1545437.87393311,4076.11139910192,74488.0900335072
"13",2015,2479744.08640341,1200947.49534605,72.1619707700581,17.3242673723635,134.631411707383,249.365456874408,521.620573277646,24423.0793117405,1640529.26899433,3400.68066967482,74054.5753042152
"14",2016,3288025.45322816,1246817.20643603,59.8773191187178,18.4021031780788,145.183705102789,234.093132130804,561.007868720206,28748.3263236695,1576276.68917029,5091.3896027292,75438.6875120698
"15",2017,2972626.72253541,1434872.17291148,68.126265193296,24.8414395658519,129.613960826363,243.406153296,506.945639970794,29082.2648735404,1633282.6482622,4286.50658271302,88512.4703153251
"16",2018,3264316.73039221,1289752.9918332,57.7764841256678,20.414082218047,144.093958427392,272.136339319253,470.120036913338,25802.3849663185,2012642.62270879,4894.82342446353,91727.8603248314
"17",2019,3255885.25694001,1458431.66018734,63.5262294733958,20.8443552560769,191.810517202967,223.102414536906,502.94613496251,27954.1346053932,2061598.91885619,6508.79550114574,147142.327431079
"18",2020,3697619.69406774,1963180.37360783,75.3833610244082,22.7195784580268,267.479482094423,168.239928099961,470.995515673051,29707.320556223,2005396.7772122,5838.02101158874,86172.7724178169
"19",2021,3271175.4802923,1630484.22050779,62.6912303047197,24.75889133434,202.001212931408,189.679952193642,525.359300616522,40005.9248392578,1917466.51768531,5511.3484078981,121619.750420205
