"","year","revenue","Pcost","Dcost","temp","rain","sun","insolation","Hprice","gdp","area","yield"
"1",2003,1388559.03972925,557827.745357412,46.2583361442999,18.6256141450159,268.131509206262,250.935120582961,466.620818775207,16435.7858489393,805016.551408857,2296.55470688167,59953.7331513762
"2",2004,1346230.02995194,487197.311515985,60.3204296613269,23.5759303616882,275.052073727561,194.199146341175,497.501329457074,14091.2316580849,830629.00861324,3130.43228402082,77801.4381772092
"3",2005,1504058.45713173,480673.936220698,56.2073504580069,23.1586196173544,182.438121155141,217.6809516382,481.826900366366,19016.5276643917,755971.91876617,3262.7269716837,54087.3520364948
"4",2006,1684813.33435741,499442.615345264,61.6533836211289,21.4728269687082,210.844567765355,193.934242754442,536.545554911096,18689.0381069193,1172158.77418885,3920.83810395019,76161.5807123936
"5",2007,1804349.3457393,632077.008708752,74.3952181396022,22.8671449790132,250.475149776097,207.818587949115,579.511392623989,20283.8881783338,1045640.50469267,4792.57609347907,75409.8642640014
"6",2008,1819978.8894157,752775.33042557,57.978960110538,24.7724775687139,173.14284051926,182.758467772672,521.67710038239,20563.994593117,1268491.05926493,3677.7313932663,59955.9858149973
"7",2009,1895912.34130471,809290.84487617,66.2716156285656,19.3966074269795,184.476125504834,220.599996863413,575.767384010585,21430.0473642258,1282166.13697694,4309.73107657905,83206.1639798217
"8",2010,2432039.57022806,938132.216070372,59.2992443251422,23.3872837504765,197.819419179375,211.511002467124,641.705497171595,19652.0266759267,1371815.4421095,4148.12996622528,84256.5037587366
"9",2011,2814163.74727284,1097927.1019098,65.8562350651792,20.2141778696316,232.586527019577,191.367758681669,647.4360932623,23599.4566717343,1338464.04026993,4169.71051059625,71881.3884981645
"10",2012,3120629.51604647,1386493.88992791,51.9028792992666,25.5045337693459,232.472680228757,191.197487870108,543.918334844298,21462.2038367805,1408637.1793775,5084.90213561207,83292.8684148386
"11",2013,2742008.88800479,1176867.30789686,54.4614240695789,21.5272444760894,152.359856340516,275.613174261668,574.799830786318,30049.6714088437,1483269.23816663,4717.89033469757,76088.4885666269
"12",2014,2791625.6154792,848327.856908339,73.7412488779686,19.3897266944824,221.260645037607,217.988130374621,638.79024032294,26986.7593682424,1444635.06897685,4808.64760067568,64080.1653209448
"13",2015,2174822.93274566,1201642.55217863,69.5856705563056,19.5413222446245,123.71527218477,275.721810193311,572.950122193125,24434.2315875793,1599824.75615486,4257.65771912513,76028.0584346456
"14",2016,2762501.37516617,1318639.65804009,64.9253538954451,25.9695673966081,138.05753545315,266.967785521755,672.300183677697,26917.9576176628,1674259.1774484,4629.53730336857,80278.8103011593
"15",2017,2446980.53091593,1383801.12767058,75.2627051030664,24.5877085839194,124.729757770955,241.65115703726,700.901816047714,27827.834507209,1666140.81531577,4898.15883477037,80485.0348925127
"16",2018,3013144.33418749,1303216.20489277,61.5525119872403,22.4218050993142,174.594069795908,244.552396047098,529.912559330826,28128.8072836207,2362355.65907382,4936.95127640725,97356.3468661203
"17",2019,3061246.16364528,1343823.54204535,57.9618699347285,20.757649413231,185.027581003134,220.910057602309,503.96040294996,30631.1879898461,1770927.91160229,5192.37217207659,121537.933374871
"18",2020,3280146.16008075,1532805.89172494,67.4010940567826,23.0628714911662,253.139545406041,202.833294343203,504.329511799136,30758.539464419,2358442.50327544,6136.09082214194,92002.9955860678
"19",2021,3602543.65809627,2008559.06231366,50.3254464460402,24.1179550022003,224.336200162181,187.485770135892,589.395782208986,36777.2861634228,2139718.93452053,6081.85133649017,93836.905669138
